Issue ID,Issue,Fix,Result,Remarks
BUG-001,Company dashboard applicant modal displayed raw JSON payload instead of formatted profile data.,"Removed raw JSON auto-display block; modal now populates name, role, and status fields from structured API response.","Applicant modal shows clean, formatted profile. No raw JSON visible to users.",Commit `3eee3d0`
BUG-002,Applicant name displayed as blank or `undefined` when viewing applications; profile fields not populated.,Fixed `getApplication` to fully populate `applicant` and `job` sub-documents; derived full name from `firstName`/`lastName` with email fallback.,Applicant names render correctly across all dashboard views.,"Commits `a04bf83`, `8dec754`"
BUG-003,Flex overflow in dashboard applicant item caused layout to break on smaller viewports.,Added `overflow: hidden` and adjusted flex constraints on the applicant item container.,Dashboard applicant list renders cleanly at all supported breakpoints.,Commit `5bea01e` — PR #210
BUG-004,Job Management table rendered incorrect number of columns; `colspan` values did not match the 5-column header.,Updated table render logic to output exactly 5 `<td>` cells per row and corrected `colspan` on empty-state messages.,Table columns align with headers; no visual misalignment.,Commit `d751de1`
BUG-005,"Edit job link in the Job Management table pointed to a non-existent path, causing a 404 on click.",Updated link to the correct relative path `addEdit/job-post.html`.,Edit button navigates correctly to the job post edit form.,Commit `879b1af`
BUG-006,Job detail links on the company dashboard used absolute paths that broke under Railway's static routing.,Changed all job detail links to relative paths (`pages/jobs/…`) so the server static route resolves correctly.,Job detail pages open without 404 errors in production.,Commit `21a5db3`
BUG-007,Latest jobs section on homepage failed to load in Railway production due to a cross-origin API call causing CSP violations.,Refactored `API_BASE_URL` initialization to detect environment and use same-origin paths in production.,Job listings load correctly on the live Railway deployment.,"Commits `c4a1c27`, `bf10056` — PRs #206, #209"
BUG-008,Admin company list did not render; company list page showed a blank table.,Fixed data-fetch logic and rendering pipeline for admin company list view.,"Admin can view, filter, and manage the full company list.","Commits `ddec368`, `47556e9`"
BUG-009,"Modal ""View"" mode was inadvertently broken; clicking View on an applicant opened an empty modal.",Restored modal view-mode logic and re-wired open/close event handlers.,Modal opens correctly in read-only view mode; data populates as expected.,Commit `03ecef5` — PR #197
BUG-010,Edit button in admin dashboard modal did not trigger the edit flow; button click was unresponsive.,Rewired edit button click handler and corrected selector targeting the modal's edit trigger.,Edit button opens the edit form with pre-populated fields.,Commit `24aee63` — PR #196
BUG-011,"`src/app.js` became corrupted with duplicate and dead code blocks, causing the backend server to fail to start.",Repaired `app.js` by removing all duplicate middleware registrations and dead route blocks.,Backend server starts cleanly; no duplicate route warnings.,Commit `b460e41`
BUG-012,Duplicate index on `UserProfile` model caused MongoDB to throw an error on startup when `version 1.1.0` changes were applied.,Removed duplicate unique index definition from the `UserProfile` schema.,MongoDB connects without index errors; profile creation and lookup work correctly.,Commit `3eede77`
BUG-013,User profile data was not populating on profile dashboard after login; fields appeared empty.,Fixed population logic for `UserProfile` to correctly resolve the linked `User` document.,"Profile dashboard displays all user fields (name, skills, experience, education) after login.",PR #189
BUG-014,Google OAuth login for admin accounts did not correctly associate the OAuth profile with the admin `UserProfile`.,Corrected the Google auth callback to look up existing accounts by email before creating a new profile; linked existing admin record.,Admin Google OAuth login now resolves to the correct profile and role.,PR #202
BUG-015,Job details page displayed incorrect or missing job title in the `<h1>` heading; ID reference was wrong.,Corrected element ID reference for job title; updated header to use the populated title field.,Job title renders correctly on all job detail pages.,"Commits `73d07a5`, `7c74923`"
BUG-016,"Job detail URL construction failed in GitHub Pages subpath deployments, producing broken links.",Updated URL builder to detect base path and prepend the correct subpath prefix.,Job detail links work on both GitHub Pages and Railway deployments.,"Commits `4b83525`, `5539836`"
BUG-017,Login redirect sent users to the wrong dashboard after authentication (profile dashboard instead of company dashboard for employers).,Updated login redirect logic to check user role and route to the appropriate dashboard dynamically.,Jobseekers land on `profileDashboard.html`; employers on `companyDashboard.html` after login.,"Commits `523e998`, `e357ee0`"
BUG-018,"S3 resume upload GitHub Actions workflow had an indentation error in the Terraform YAML, causing CI to fail.",Fixed YAML indentation in the S3 workflow file.,CI workflow passes; Terraform plan and apply steps execute correctly.,Commit `fd8c51f` — PR #184
BUG-019,"Job post form ""Close"" button had no handler; clicking it did nothing.",Added `history.back()` fallback and a redirect to the job list as a backup close action.,Close button exits the form and returns users to the previous page or job list.,Commit `49916f4`
BUG-020,"Accessibility issues on job-post and about pages: missing `<label>` associations, unlabelled landmarks, and low-contrast text.","Added explicit `for`/`id` label pairs, `aria-hidden` on decorative elements, and adjusted foreground colours to meet WCAG AA contrast ratios.",Pages pass automated accessibility checks; contrast ratios meet WCAG AA minimum (4.5:1).,"Commits `005f7ed`, `5e29d84`, `ddbac4c`"
BUG-021,"API base URL was hardcoded to `localhost:8080` in Postman collections and the API reference, breaking testing against the actual `localhost:3000` backend.",Updated all URL references in docs and Postman collections to `localhost:3000`.,Postman requests and API reference docs point to the correct local development port.,Commit `b38321d`
BUG-022,"Job post form `industry` and `japaneseLevel` select values did not match backend enum values, causing validation errors on submission.",Aligned frontend `<select>` option values with backend enum definitions for both fields.,Job post form submits without validation errors; jobs are created successfully.,Known Issue — tracked in `TESTING.md`
BUG-023,`leftover allApps` variable counts and duplicate `const` declarations in `companyDashboard.js` caused a runtime `SyntaxError`.,Removed stale variable declarations and deduplicated conflicting `const` blocks.,Company dashboard loads without JavaScript runtime errors in the browser console.,Commit `2e666bb`
BUG-024,"API endpoint for fetching the employer's own posted jobs used the wrong route, returning an empty list on the dashboard.",Updated the fetch call to use the correct endpoint `GET /api/v1/jobs/my` with the appropriate `Authorization` header.,Employer's posted jobs load correctly on the company dashboard Job List card.,Commit `2b281ba`
BUG-025,"Navigation desktop links for authenticated users did not update when a JWT was present; ""Login/Signup"" buttons remained visible after sign-in.","Enhanced `headerAuth.js` to re-evaluate the JWT on each page load and update the desktop nav links to show ""Dashboard"" and ""Logout"" instead.",Navigation reflects correct auth state on all pages after login and logout.,Commit `f7c7042`
